864				
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
50		0.001		57.320508
50		0.001		50
50		0.001		40
50		0.001		30
50		0.001		22.679492
50		0.001		20
50		0.001		22.679492
50		0.001		30
50		0.001		40
50		0.001		50
50		0.001		57.320508
50		0.001		60
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
99.9999		0.001		20
